ifc_global_id,ifc_class,kind,field,value,status
3Sg96Yq1H0KeIY_4TWSz79,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSz79,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSz79,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSz78,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSz78,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSz78,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSz78,IfcElectricDistributionBoard,board,system_code,D0101,present
2ILcbW7IvEOAriHq5LuDGn,IfcElectricDistributionBoard,board,voltage_v,400.0,present
2ILcbW7IvEOAriHq5LuDGn,IfcElectricDistributionBoard,board,phase_count,3.0,present
2ILcbW7IvEOAriHq5LuDGn,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
2ILcbW7IvEOAriHq5LuDGn,IfcElectricDistributionBoard,board,system_code,S0301,present
0irh5V91zCcfh8lHZeV4Fq,IfcElectricDistributionBoard,board,voltage_v,230.0,present
0irh5V91zCcfh8lHZeV4Fq,IfcElectricDistributionBoard,board,phase_count,1.0,present
0irh5V91zCcfh8lHZeV4Fq,IfcElectricDistributionBoard,board,rated_current_a,,missing
0irh5V91zCcfh8lHZeV4Fq,IfcElectricDistributionBoard,board,system_code,D0101,present
3JIKR4ApD9Zubrv_yC0GIX,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3JIKR4ApD9Zubrv_yC0GIX,IfcElectricDistributionBoard,board,phase_count,3.0,present
3JIKR4ApD9Zubrv_yC0GIX,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3JIKR4ApD9Zubrv_yC0GIX,IfcElectricDistributionBoard,board,system_code,S0301,present
3JIKR4ApD9Zubrv_yC0GIg,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3JIKR4ApD9Zubrv_yC0GIg,IfcElectricDistributionBoard,board,phase_count,3.0,present
3JIKR4ApD9Zubrv_yC0GIg,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3JIKR4ApD9Zubrv_yC0GIg,IfcElectricDistributionBoard,board,system_code,S0301,present
0ySY4lCdb6wP8OlE3GnJKj,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0ySY4lCdb6wP8OlE3GnJKj,IfcElectricDistributionBoard,board,phase_count,3.0,present
0ySY4lCdb6wP8OlE3GnJKj,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0ySY4lCdb6wP8OlE3GnJKj,IfcElectricDistributionBoard,board,system_code,S0301,present
0ySY4lCdb6wP8OlE3GnJLh,IfcElectricDistributionBoard,board,voltage_v,230.0,present
0ySY4lCdb6wP8OlE3GnJLh,IfcElectricDistributionBoard,board,phase_count,1.0,present
0ySY4lCdb6wP8OlE3GnJLh,IfcElectricDistributionBoard,board,rated_current_a,,missing
0ySY4lCdb6wP8OlE3GnJLh,IfcElectricDistributionBoard,board,system_code,D0101,present
3nAqxWAvT6Kwm$Yz_$pXOi,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3nAqxWAvT6Kwm$Yz_$pXOi,IfcElectricDistributionBoard,board,phase_count,1.0,present
3nAqxWAvT6Kwm$Yz_$pXOi,IfcElectricDistributionBoard,board,rated_current_a,,missing
3nAqxWAvT6Kwm$Yz_$pXOi,IfcElectricDistributionBoard,board,system_code,D0101,present
3nAqxWAvT6Kwm$Yz_$pXOI,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3nAqxWAvT6Kwm$Yz_$pXOI,IfcElectricDistributionBoard,board,phase_count,1.0,present
3nAqxWAvT6Kwm$Yz_$pXOI,IfcElectricDistributionBoard,board,rated_current_a,,missing
3nAqxWAvT6Kwm$Yz_$pXOI,IfcElectricDistributionBoard,board,system_code,D0101,present
