edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
cab_3Sg96Yq1H0KeIY_4TWSzCj__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCj,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCj__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO175,cab_3Sg96Yq1H0KeIY_4TWSzCj,tz_3M4BY9f2fEkQXYemrsO175,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.33""}",
cab_3Sg96Yq1H0KeIY_4TWSzCX__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCX,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCX__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO17n,cab_3Sg96Yq1H0KeIY_4TWSzCX,tz_3M4BY9f2fEkQXYemrsO17n,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.13""}",
cab_3Sg96Yq1H0KeIY_4TWSzCc__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCc,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCc__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO16z,cab_3Sg96Yq1H0KeIY_4TWSzCc,tz_3M4BY9f2fEkQXYemrsO16z,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.31""}",
cab_3Sg96Yq1H0KeIY_4TWSzCO__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCO,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCO__OBJECT_ASSIGNED_TO_ZONE__tz_2gcNnmocjA5uvLJTxY_5Hl,cab_3Sg96Yq1H0KeIY_4TWSzCO,tz_2gcNnmocjA5uvLJTxY_5Hl,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.35""}",
cab_3Sg96Yq1H0KeIY_4TWSzCH__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCH,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCH__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06AgEb,cab_3Sg96Yq1H0KeIY_4TWSzCH,tz_0Q4MSUQx531vKL_w06AgEb,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.49""}",
cab_3Sg96Yq1H0KeIY_4TWSzCG__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCG,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCG__OBJECT_ASSIGNED_TO_ZONE__tz_1BI3W4_qjCRul28Xx_mFxY,cab_3Sg96Yq1H0KeIY_4TWSzCG,tz_1BI3W4_qjCRul28Xx_mFxY,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.41""}",
cab_3Sg96Yq1H0KeIY_4TWSzCL__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCL,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCL__OBJECT_ASSIGNED_TO_ZONE__tz_1ihDn_IqL2a8bCCZUoYpgl,cab_3Sg96Yq1H0KeIY_4TWSzCL,tz_1ihDn_IqL2a8bCCZUoYpgl,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.85""}",
cab_3Sg96Yq1H0KeIY_4TWSzCM__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCM,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCM__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO17S,cab_3Sg96Yq1H0KeIY_4TWSzCM,tz_3M4BY9f2fEkQXYemrsO17S,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.0""}",
cab_3Sg96Yq1H0KeIY_4TWSzC8__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzC8,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzC8__OBJECT_ASSIGNED_TO_ZONE__tz_3nyidG4wTF_9_mvrir11rr,cab_3Sg96Yq1H0KeIY_4TWSzC8,tz_3nyidG4wTF_9_mvrir11rr,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.77""}",
cab_3Sg96Yq1H0KeIY_4TWSzCD__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCD,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
