node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
board_29TNjzyaLFhP4y0nNcCYsr,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,29TNjzyaLFhP4y0nNcCYsr,,,,floor_level_01,,"[32.459, 41.907, 55.5]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_2Nl2KpUg9CfPXj33hGJG3g,ElectricalBoard,-,RKE02,ifc_ele,ELE_enriched.ifc,2Nl2KpUg9CfPXj33hGJG3g,,,,floor_level_01,,"[31.259, 41.292, 55.8]","{""device_tag"": ""RKE02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1uPDbvw6L0MgNr4AW2hEsV,ElectricalBoard,-,RKE02,ifc_ele,ELE_enriched.ifc,1uPDbvw6L0MgNr4AW2hEsV,,,,floor_level_01,,"[50.621, 62.634, 55.8]","{""device_tag"": ""RKE02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1uPDbvw6L0MgNr4AW2hEs_,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,1uPDbvw6L0MgNr4AW2hEs_,,,,floor_level_01,,"[49.546, 63.442, 55.5]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_1uPDbvw6L0MgNr4AW2hEsX,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,1uPDbvw6L0MgNr4AW2hEsX,,,,floor_level_01,,"[60.516, 73.806, 55.5]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_1uPDbvw6L0MgNr4AW2hEtU,ElectricalBoard,-,RKE02,ifc_ele,ELE_enriched.ifc,1uPDbvw6L0MgNr4AW2hEtU,,,,floor_level_01,,"[59.765, 72.766, 55.8]","{""device_tag"": ""RKE02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1aUKvm5Vn6pB1ZfN1xydf8,ElectricalBoard,-,RKE08,ifc_ele,ELE_enriched.ifc,1aUKvm5Vn6pB1ZfN1xydf8,,,,floor_level_01,,"[19.561, 33.965, 55.5]","{""device_tag"": ""RKE08"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz7a,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7a,,,,floor_level_02,,"[22.075, 40.713, 59.7]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz7T,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7T,,,,floor_level_02,,"[22.898, 41.849, 59.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz7S,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7S,,,,floor_level_02,,"[39.461, 57.551, 59.7]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
