load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_0aAr_qi8TBnPSZscFvv8UP,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8J6,circuit_board_1BFJi9GR9EgeQt8GQ9AWs2_lights,board_1BFJi9GR9EgeQt8GQ9AWs2,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Jh,circuit_board_0v5ZMY9z92W9XFjubzgo4H_lights,board_0v5ZMY9z92W9XFjubzgo4H,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8IL,circuit_board_0v5ZMY9z92W9XFjubzgo4H_lights,board_0v5ZMY9z92W9XFjubzgo4H,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8I1,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Iu,circuit_board_0v5ZMY9z92W9XFjubzgo4t_lights,board_0v5ZMY9z92W9XFjubzgo4t,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8I_,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8I_,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Iz,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_1MN9WxOpf9oQ4HpOV6vz2B,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_1MN9WxOpf9oQ4HpOV6vz3X,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe0S,circuit_board_1BFJi9GR9EgeQt8GQ9AWs2_lights,board_1BFJi9GR9EgeQt8GQ9AWs2,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe0T,circuit_board_1BFJi9GR9EgeQt8GQ9AWs2_lights,board_1BFJi9GR9EgeQt8GQ9AWs2,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe0o,circuit_board_1WxTmsBPD4Sf77udYi3J3x_lights,board_1WxTmsBPD4Sf77udYi3J3x,lights,S0301,system_code+floor+nearest,medium
